id,value
752501,501
3922406,406
1920598,598
2134299,299
4423820,820
860712,712
4278179,179
618056,56
1279275,275
3083211,211
2112609,609
1144326,326
2149148,148
853009,9
1079282,282
3784607,607
1942235,235
4567752,752
4966787,787
3302593,593
3256467,467
1165517,517
307769,769
3615203,203
3498354,354
173823,823
1263933,933
3589415,415
3267571,571
4492864,864
4652963,963
4804695,695
2456932,932
127251,251
2961288,288
3838770,770
3537727,727
840535,535
4734052,52
1856507,507
1654317,317
2163845,845
3208365,365
203460,460
3962050,50
3737270,270
4046033,33
4064703,703
3237495,495
1258105,105
3379622,622
4729766,766
484960,960
4825105,105
717255,255
2316633,633
766501,501
782038,38
2140890,890
3920013,13
594561,561
3786972,972
2502472,472
1862849,849
2875256,256
2822047,47
3625381,381
3873906,906
1173021,21
2115094,94
147663,663
4830377,377
946197,197
4652811,811
761043,43
458777,777
297033,33
313704,704
2360112,112
2206449,449
4676365,365
3139691,691
2341033,33
2779364,364
1344990,990
577144,144
1706500,500
679260,260
1666681,681
2516124,124
2107905,905
4462186,186
3042035,35
743503,503
3631470,470
27731,731
1359870,870
2457289,289
3115787,787
1077999,999
1087009,9
408384,384
3788579,579
2012680,680
634770,770
637743,743
2252094,94
4609501,501
4308686,686
544647,647
68888,888
508476,476
2038619,619
608027,27
2911279,279
2298557,557
4332151,151
4099776,776
3984455,455
3936310,310
4637085,85
929393,393
409194,194
4439793,793
3528624,624
1401922,922
3864426,426
4249526,526
2466964,964
2626221,221
2982901,901
4356697,697
2712514,514
4426086,86
3754621,621
4443294,294
3244482,482
1614667,667
1477876,876
768153,153
2112410,410
1482077,77
3196548,548
3879235,235
1209579,579
1265209,209
1742677,677
4461685,685
4824365,365
846392,392
2826953,953
2178968,968
3725897,897
2449557,557
2308022,22
4448344,344
4586982,982
4701556,556
4441509,509
3554197,197
2197839,839
1710534,534
2712196,196
3388225,225
3652178,178
3010828,828
1717273,273
2750888,888
4320297,297
1432633,633
1686196,196
2897888,888
3199782,782
4434780,780
1292504,504
58577,577
2828118,118
4056309,309
847765,765
3685898,898
2268098,98
3540639,639
1896883,883
253616,616
4888669,669
4935771,771
4142932,932
1511288,288
2905145,145
2474969,969
1748888,888
2881257,257
4423427,427
15012,12
4573957,957
2897997,997
2543544,544
3192770,770
