id,value
4531868,868
4052783,783
1951032,32
4771704,704
233139,139
3151213,213
1699775,775
4292603,603
3384275,275
4303918,918
1376730,730
4703294,294
3450193,193
3778373,373
2215040,40
1409167,167
2686475,475
1963993,993
4626095,95
368071,71
3994606,606
3060791,791
793297,297
339658,658
3506008,8
833835,835
3135036,36
1072729,729
2486122,122
404953,953
1777653,653
4219908,908
1532509,509
4327089,89
972365,365
425296,296
1905140,140
1812601,601
2893940,940
3677967,967
4398508,508
4507161,161
2708507,507
955916,916
934387,387
3306979,979
1121156,156
4338501,501
1337879,879
1306775,775
4012896,896
3908658,658
4776967,967
1095918,918
4673699,699
1480943,943
536153,153
2607288,288
539584,584
4831057,57
3889143,143
4458628,628
2871462,462
1461432,432
1158044,44
2940579,579
3649855,855
1088534,534
3196139,139
2390031,31
4485664,664
4144576,576
1919383,383
3573662,662
4910967,967
1588275,275
1460327,327
103788,788
1425464,464
2582414,414
1160458,458
880087,87
3240439,439
4393153,153
3668580,580
2602281,281
2589036,36
4079465,465
2197958,958
156178,178
2098806,806
4869374,374
414571,571
399036,36
273593,593
1746018,18
2864730,730
2095537,537
2978517,517
2216804,804
3190581,581
927742,742
4022209,209
168999,999
2599531,531
4723419,419
562069,69
3865686,686
4055768,768
646151,151
254790,790
1674895,895
3090236,236
1826620,620
2228498,498
4871599,599
1706079,79
1913059,59
892206,206
1082347,347
3669761,761
825362,362
2719753,753
1822002,2
1620864,864
4665228,228
3593452,452
3309456,456
3740310,310
3169334,334
3578851,851
393687,687
246060,60
2249466,466
978213,213
1035543,543
3365284,284
835934,934
4372652,652
805241,241
70991,991
2114270,270
2753868,868
3324727,727
4302321,321
4566193,193
1192258,258
4613617,617
4244259,259
931389,389
3085888,888
223172,172
720668,668
3859905,905
228474,474
758152,152
879398,398
2448184,184
3582901,901
1252525,525
1627772,772
3022556,556
4450916,916
3674961,961
676481,481
666791,791
656725,725
3389036,36
2897794,794
1034718,718
4609891,891
2447069,69
2952801,801
2585304,304
2314337,337
4934386,386
2778693,693
4889596,596
1540136,136
3401761,761
1384571,571
3211304,304
1920778,778
3321764,764
4285145,145
365654,654
4905297,297
3733573,573
950857,857
4951442,442
2699316,316
3756612,612
3570690,690
4429093,93
4188327,327
3916198,198
2890036,36
1957659,659
2986459,459
62691,691
4524085,85
1908797,797
4146106,106
4713813,813
1377306,306
3746209,209
3766473,473
4701939,939
1805719,719
727691,691
4824714,714
3076527,527
2542083,83
3420941,941
1473762,762
1032387,387
2877853,853
4281391,391
980230,230
1245016,16
3744123,123
3855917,917
3808227,227
2583060,60
4137261,261
1450227,227
3084321,321
4114113,113
3556627,627
1962320,320
1369685,685
4495227,227
4425291,291
1638683,683
3221323,323
1037814,814
2733028,28
2846735,735
420471,471
4526646,646
1281088,88
2937346,346
2753042,42
2039074,74
1528565,565
2068016,16
408547,547
4659345,345
1127135,135
3977604,604
4459110,110
3124957,957
2777995,995
2351476,476
1124050,50
4870855,855
1609643,643
3267937,937
110089,89
559398,398
4814635,635
2819924,924
954603,603
2694868,868
2469772,772
3628346,346
4813969,969
3881486,486
4012265,265
359982,982
936829,829
2058002,2
3639645,645
892455,455
4178883,883
3010950,950
2051211,211
4987879,879
591520,520
2950110,110
1421002,2
4579216,216
1428002,2
4742357,357
268134,134
4345527,527
3840631,631
341419,419
2082702,702
3906333,333
4040875,875
2738686,686
122910,910
2112405,405
3645324,324
4715693,693
2930785,785
252391,391
1289808,808
4857965,965
1133541,541
2702190,190
654942,942
3854186,186
2607332,332
4187829,829
1984718,718
3966402,402
1078960,960
3238426,426
2237276,276
4296895,895
3679466,466
3974219,219
3710493,493
2668263,263
1792295,295
2836654,654
1456924,924
945754,754
3378159,159
4832216,216
2075453,453
2462232,232
1375641,641
2754773,773
4491943,943
2361342,342
2873948,948
1940766,766
4674619,619
4235745,745
1197543,543
1326490,490
3465643,643
4054889,889
3442779,779
4167715,715
253348,348
654688,688
2432104,104
2026525,525
1055185,185
3951957,957
3563385,385
4989826,826
2041076,76
3345431,431
3806996,996
2949049,49
461396,396
275802,802
1014992,992
2204387,387
2529358,358
2573104,104
355289,289
2696642,642
4850866,866
1250963,963
4617463,463
1991171,171
135920,920
1444111,111
2063000,0
3899933,933
4115365,365
798570,570
2928604,604
707309,309
2878962,962
2721570,570
2796868,868
367565,565
1713163,163
429205,205
4500993,993
3287798,798
360266,266
151749,749
2078466,466
865819,819
2252679,679
3185395,395
1764881,881
4609878,878
3985232,232
4489566,566
4832552,552
1469134,134
618381,381
4471086,86
147418,418
2501426,426
2139973,973
4926559,559
4116161,161
1473701,701
2464099,99
2221601,601
3696357,357
2990846,846
637040,40
2759704,704
2087716,716
4462744,744
365288,288
2110175,175
735648,648
4088340,340
40901,901
2212730,730
1207160,160
4575190,190
457952,952
433530,530
3547843,843
4384583,583
555504,504
1348798,798
1506440,440
1209212,212
3591100,100
2449448,448
2908545,545
3773404,404
715136,136
1958310,310
4133365,365
3667075,75
2913285,285
4049568,568
4156877,877
1733532,532
4901791,791
4228944,944
271557,557
3420155,155
1947192,192
3155524,524
1771577,577
1429167,167
1184725,725
86824,824
2953347,347
403356,356
696217,217
4325520,520
847888,888
4518181,181
4478531,531
1310956,956
3445599,599
2929242,242
3983422,422
2287793,793
4791354,354
2273528,528
2820083,83
1028151,151
738248,248
4044661,661
1526008,8
3754673,673
1844323,323
4674561,561
2468947,947
451971,971
1445774,774
1013075,75
67225,225
3678542,542
1400365,365
2078274,274
408113,113
1534914,914
4702468,468
3769027,27
1400064,64
3667667,667
1708826,826
1025531,531
3248863,863
3388953,953
1415765,765
2468772,772
3398656,656
1145602,602
2547248,248
2808366,366
1859651,651
3238371,371
1201481,481
1140330,330
2913073,73
3906181,181
2549028,28
2312064,64
452665,665
3774368,368
3620938,938
67051,51
261968,968
3026667,667
4846648,648
2731973,973
2214279,279
858813,813
2661912,912
864676,676
987997,997
1151973,973
2787201,201
2609594,594
2899702,702
4120148,148
2080581,581
1749534,534
983783,783
4306033,33
1752694,694
2039070,70
3983363,363
1344100,100
4349991,991
1388275,275
2571045,45
3289130,130
2483483,483
4801685,685
2482684,684
2646860,860
3165686,686
4170239,239
115544,544
667291,291
4712840,840
4625350,350
215930,930
3830550,550
4731833,833
2505649,649
2861355,355
4029096,96
1293094,94
3807047,47
3262815,815
1246494,494
113242,242
2698033,33
580667,667
4434664,664
2923579,579
4778631,631
2128849,849
4109119,119
380567,567
1802201,201
283084,84
1394400,400
789481,481
3187205,205
1875483,483
75670,670
1738897,897
2432401,401
2874869,869
392576,576
1480675,675
258925,925
909803,803
696114,114
1690367,367
2235478,478
1802253,253
2901205,205
3100499,499
3585310,310
3053629,629
1755195,195
3446791,791
4521143,143
2236894,894
1118131,131
1679858,858
295560,560
1611111,111
327019,19
956786,786
4214965,965
3627688,688
3547150,150
4855269,269
3049396,396
3127556,556
3887602,602
216975,975
3584068,68
807615,615
121820,820
2139416,416
4811484,484
1558118,118
1681116,116
2915167,167
4687130,130
3808095,95
2473644,644
2543018,18
3212623,623
4095097,97
1249563,563
4901478,478
303070,70
989614,614
727935,935
3785871,871
2926198,198
4305127,127
2245671,671
2029236,236
3947990,990
4807092,92
3801709,709
4640043,43
379186,186
2517695,695
1642705,705
768559,559
1709520,520
3390698,698
274327,327
1816159,159
3423011,11
2541108,108
3450480,480
2040614,614
432966,966
2402767,767
909776,776
600378,378
83405,405
3939137,137
4929134,134
1564046,46
4368362,362
1980099,99
2943709,709
1003196,196
1837079,79
2270960,960
3052885,885
1992907,907
4689450,450
4650604,604
1956905,905
756021,21
2054393,393
3056959,959
3881044,44
