id,value
2742639,639
4026754,754
1226561,561
3961486,486
1583596,596
4518851,851
485578,578
3033510,510
474228,228
1962133,133
246191,191
3503356,356
4258545,545
4414610,610
1310660,660
1583209,209
4299558,558
3542359,359
4275375,375
421936,936
4991253,253
4723478,478
1238614,614
3727864,864
14972,972
92022,22
2409022,22
4891762,762
1765361,361
815929,929
3703924,924
4697788,788
2151893,893
3092981,981
4030021,21
1219707,707
3046162,162
994230,230
2785023,23
2496700,700
4669394,394
1165292,292
2008904,904
2184191,191
2254639,639
3625296,296
3259419,419
3521600,600
4854105,105
1037709,709
2570365,365
4927795,795
668521,521
1984841,841
4981407,407
1052166,166
855918,918
3976764,764
4992406,406
3959097,97
3402228,228
668274,274
4050540,540
2354941,941
3664309,309
3677975,975
4433706,706
778218,218
675140,140
2763436,436
2520510,510
3032749,749
4762593,593
2551925,925
2447530,530
2939328,328
1719211,211
1596225,225
1867112,112
1787022,22
273878,878
3964035,35
1658525,525
943705,705
4424363,363
2335205,205
2734255,255
1603977,977
3584997,997
3368572,572
3999317,317
2492427,427
4543733,733
4963889,889
2164549,549
3251625,625
741679,679
2252868,868
1358178,178
3701236,236
2700901,901
759,759
2484821,821
3948730,730
494494,494
1310161,161
952522,522
3583881,881
3274735,735
1585475,475
2702822,822
895402,402
4520885,885
1190224,224
2428495,495
3600583,583
863233,233
1200792,792
3075592,592
4760145,145
3648211,211
2675887,887
3519301,301
2456611,611
870727,727
3933585,585
3780387,387
4942414,414
325777,777
4567848,848
3180717,717
3765791,791
3474537,537
563772,772
3941739,739
281987,987
3407546,546
3181503,503
2170798,798
1730247,247
4437829,829
3730184,184
1122307,307
1951855,855
1767029,29
4421196,196
2665029,29
3080124,124
3513012,12
3650948,948
2306483,483
152800,800
3745382,382
1524,524
4383137,137
1273847,847
2200668,668
2611474,474
2272917,917
4961396,396
3222575,575
4124489,489
677305,305
2448209,209
1626885,885
4618967,967
608124,124
37860,860
1330583,583
784005,5
20499,499
3495600,600
1992602,602
1750930,930
2743770,770
3513610,610
3193412,412
2099160,160
1166640,640
3123178,178
4321077,77
3729823,823
3522554,554
3338115,115
4691784,784
3826461,461
707811,811
3285519,519
1081871,871
4218549,549
3232614,614
3064714,714
2603014,14
2341395,395
3307730,730
3684767,767
2235800,800
4963118,118
23914,914
4534097,97
1921738,738
641427,427
1651832,832
49509,509
4094908,908
3171560,560
800515,515
2097507,507
4049604,604
1338741,741
990847,847
3447300,300
1834224,224
3560858,858
2240002,2
2105903,903
4093991,991
2108902,902
3967834,834
177135,135
886669,669
962369,369
865387,387
1889563,563
3829799,799
4298142,142
2975970,970
1253154,154
469663,663
136571,571
4998858,858
574912,912
4820463,463
4925056,56
1080001,1
3178566,566
1887575,575
1893260,260
32795,795
4181841,841
3516007,7
4767342,342
4967602,602
4651287,287
3693151,151
3449714,714
706477,477
78404,404
3605380,380
3770701,701
2405904,904
1814855,855
644605,605
1043419,419
3187477,477
2028800,800
4503334,334
3262283,283
3526508,508
1075014,14
2187676,676
761133,133
3481839,839
3305702,702
830150,150
1444355,355
4772428,428
4979074,74
2037584,584
1052520,520
2983705,705
2741275,275
943212,212
245887,887
3894876,876
4626131,131
3827783,783
2017579,579
658165,165
3038976,976
679919,919
1083453,453
4425663,663
814582,582
4512796,796
874853,853
3794,794
3893719,719
3306542,542
3226485,485
846726,726
758834,834
1280970,970
579465,465
4974679,679
846541,541
1313539,539
4937663,663
360779,779
3711027,27
3574600,600
3684347,347
1496719,719
2015324,324
4444647,647
2718169,169
2634237,237
3937008,8
3661055,55
2910552,552
4764968,968
240116,116
4453078,78
304412,412
3832803,803
272941,941
4885799,799
2187953,953
374100,100
832319,319
1248750,750
1950610,610
4471660,660
1586023,23
3971174,174
4112726,726
2010533,533
4579764,764
3083511,511
2281151,151
900976,976
335411,411
1099721,721
4646683,683
191708,708
889127,127
3471636,636
2110545,545
201812,812
2155212,212
2666095,95
4150045,45
1585538,538
1582447,447
